id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
4ZR83StAnVFWJf55jVux7O,0.391,0.105,115.015,0.0285,0.431,0.0,4,0.644,6,231433,-11.118,0.617,1,audio_features,spotify:track:4ZR83StAnVFWJf55jVux7O
37qI0mchgzUSeUhPiwUWPY,0.696,0.127,112.024,0.0265,0.0392,0.0,4,0.551,2,209360,-6.192,0.354,1,audio_features,spotify:track:37qI0mchgzUSeUhPiwUWPY
1PdaYDglJxEle6PGQanvp1,0.877,0.2,121.041,0.0535,0.00104,0.515,4,0.466,3,218288,-6.253,0.223,1,audio_features,spotify:track:1PdaYDglJxEle6PGQanvp1
73AlkA0gNITb2rEb913DIX,0.887,0.151,166.008,0.0732,0.000244,0.00258,4,0.517,10,321162,-7.637,0.531,0,audio_features,spotify:track:73AlkA0gNITb2rEb913DIX
0wBNVJm6ivrFUlSucNVCkf,0.824,0.133,174.099,0.143,0.000548,0.000252,4,0.307,7,230679,-6.396,0.606,1,audio_features,spotify:track:0wBNVJm6ivrFUlSucNVCkf
5K9DlRSlHh21MNvLXDYMZC,0.911,0.525,104.491,0.238,0.00106,6.91e-06,4,0.314,11,236600,-7.951,0.173,0,audio_features,spotify:track:5K9DlRSlHh21MNvLXDYMZC
3VDx6xXywqEdtlYhShhXtz,0.618,0.258,161.879,0.0382,0.00203,0.0472,4,0.402,11,235120,-6.984,0.396,1,audio_features,spotify:track:3VDx6xXywqEdtlYhShhXtz
5GCrBPWKpgH4H3bLLnvWm7,0.644,0.086,104.98,0.0429,0.161,0.762,4,0.839,2,279429,-5.159,0.102,0,audio_features,spotify:track:5GCrBPWKpgH4H3bLLnvWm7
5XXYrF3Udt9iApwyxZTpEG,0.714,0.185,122.992,0.0731,0.266,0.012,4,0.789,7,237627,-6.716,0.827,1,audio_features,spotify:track:5XXYrF3Udt9iApwyxZTpEG
0YpG8KGBdFRpf90kYeKHDs,0.915,0.106,100.444,0.152,0.235,0.0865,4,0.597,10,232530,-3.298,0.555,0,audio_features,spotify:track:0YpG8KGBdFRpf90kYeKHDs
